;1;2;3;4;5;6;7;8;9;10;Rm-Rf
30.12.1932;-0.0011;0.0515;-0.0135;-0.0315;-0.0366;-0.0247;-0.0115;-0.0455;-0.1366;-0.1017;0.0440
31.01.1933;0.0438;0.048;0.0189;0.0135;0.0727;0.0305;0.045;0.0634;0.0544;0.0321;0.0125
28.02.1933;-0.0872;-0.1448;-0.1214;-0.16;-0.1801;-0.2069;-0.2487;-0.2099;-0.2142;-0.2168;-0.1524
31.03.1933;0.0314;0.0627;0.104;0.0727;0.1067;0.0871;0.1584;0.1304;0.1743;0.0729;0.0329
28.04.1933;0.2085;0.3954;0.5026;0.439;0.564;0.654;0.6232;0.6591;0.613;0.5827;0.3885
31.05.1933;0.22;0.2231;0.4116;0.4441;0.3814;0.514;0.5594;0.6855;0.7052;0.7504;0.2143
30.06.1933;0.1395;0.1788;0.1142;0.1728;0.1718;0.1931;0.1687;0.1609;0.2259;0.2578;0.1311
31.07.1933;-0.0766;-0.1032;-0.1174;-0.1141;-0.1452;-0.1167;-0.1587;-0.1162;-0.0453;-0.0508;-0.0963
31.08.1933;0.0653;0.1082;0.1405;0.1941;0.1623;0.175;0.1291;0.1049;0.0662;0.0268;0.1205
29.09.1933;-0.0623;-0.0747;-0.118;-0.0966;-0.1467;-0.1962;-0.1872;-0.2119;-0.2372;-0.2285;-0.1065
31.10.1933;-0.0662;-0.084;-0.0893;-0.113;-0.1273;-0.1339;-0.1431;-0.1225;-0.1143;-0.1563;-0.0836
30.11.1933;0.0469;0.089;0.0926;0.0886;0.1079;0.0608;0.0729;0.0652;0.0839;-0.0199;0.0997
29.12.1933;0.0072;0.0165;0.0293;-0.0011;0.0466;0.0544;0.0249;-0.0069;-0.0156;0.0263;0.0183
31.01.1934;0.1055;0.1367;0.2339;0.2088;0.2827;0.3502;0.4024;0.4144;0.4353;0.5235;0.1260
28.02.1934;0.0005;-0.0122;-0.0088;-0.0305;-0.0328;0.0046;-0.0069;0.0212;0.0214;0.0392;-0.0250
30.03.1934;0.0048;0.0155;0.0182;0.0262;0.015;0.0042;-0.01;-0.0145;-0.0097;0.0154;0.0009
30.04.1934;0.0115;0.013;-0.0066;-0.0072;-0.0188;-0.0048;-0.0262;0.0015;-0.0309;0.0023;-0.0179
31.05.1934;-0.0281;-0.0516;-0.0884;-0.1137;-0.1045;-0.1365;-0.1446;-0.1534;-0.1416;-0.1478;-0.0725
29.06.1934;0.0421;0.0498;0.0158;0.0087;0.0103;0.007;0.0058;0.0063;-0.039;-0.0289;0.0264
31.07.1934;-0.0597;-0.0725;-0.1504;-0.1859;-0.1923;-0.2312;-0.2634;-0.2699;-0.2552;-0.2752;-0.1096
31.08.1934;0.0211;0.042;0.0599;0.0935;0.1033;0.096;0.1293;0.1611;0.11;0.1493;0.0558
28.09.1934;0;0.0079;-0.0243;-0.0026;-0.0196;-0.0151;-0.0268;-0.0193;-0.0205;-0.0435;-0.0023
31.10.1934;0.0146;0.0102;-0.0145;-0.0195;-0.0048;-0.0314;-0.0424;-0.0633;-0.0454;-0.0549;-0.0166
30.11.1934;0.0548;0.0948;0.0989;0.1345;0.1627;0.1381;0.1545;0.1842;0.1685;0.1934;0.0833
31.12.1934;-0.0032;0.0129;0.027;0.0241;0.0316;-0.0021;0.0322;0.0204;0.0359;-0.0289;0.0036
31.01.1935;-0.0064;-0.0144;-0.0346;-0.0385;-0.0494;-0.0779;-0.0475;-0.0619;-0.0437;-0.0097;-0.0345
28.02.1935;0.0096;0.0094;-0.0261;-0.0094;-0.0355;-0.078;-0.1086;-0.0916;-0.1136;-0.1387;-0.0194
29.03.1935;-0.0035;-0.0365;-0.0501;-0.0563;-0.079;-0.1004;-0.1024;-0.0931;-0.0963;-0.1392;-0.0368
30.04.1935;0.0725;0.0731;0.0843;0.0766;0.0832;0.1481;0.1299;0.1296;0.0995;0.1056;0.0906
31.05.1935;0.0288;0.0143;0.0433;0.0105;0.0057;0.0372;-0.0074;0.0218;0.0383;-0.0303;0.0347
28.06.1935;0.0552;0.0546;0.0598;0.0739;0.0834;0.0472;0.0574;0.0441;0.0177;-0.0088;0.0593
31.07.1935;0.0359;0.0236;0.0962;0.0789;0.1064;0.1419;0.1652;0.1674;0.194;0.1083;0.0751
30.08.1935;-0.001;-0.0016;0.0317;0.0282;0.0569;0.0719;0.1417;0.1048;0.163;0.1234;0.0265
30.09.1935;0.0055;0.0083;0.0129;0.0379;0.0336;0.0457;0.0275;0.0448;-0.0075;0.0353;0.0263
31.10.1935;0.0353;0.0538;0.0917;0.0774;0.0998;0.0888;0.1103;0.0933;0.1184;0.1152;0.0703
29.11.1935;0.0268;0.0328;0.0747;0.0709;0.0988;0.1267;0.129;0.1799;0.2584;0.2486;0.0488
31.12.1935;0.0086;0.0268;0.0749;0.0573;0.1054;0.0798;0.1013;0.0558;0.034;0.0459;0.0456
31.01.1936;0.0428;0.0633;0.0906;0.1188;0.1011;0.1243;0.1932;0.2434;0.2309;0.2469;0.0689
